translation "Kitchen knife","Coltello da cucina"
translation "Suffix_Magic_Survival_Armor_Small","Suffix_Magic_Survival_Armor_Small"
translation "Suffix_Magic_Survival_Armor_Medium","Suffix_Magic_Survival_Armor_Medium"
translation "Suffix_Magic_Survival_Armor_Larger","Suffix_Magic_Survival_Armor_Larger"
translation "Suffix_Magic_Survival_Armor_Largest","Suffix_Magic_Survival_Armor_Largest"
translation "Prefix_Magic_Constitution_Armor_Small","Prefix_Magic_Constitution_Armor_Small"
translation "Prefix_Magic_Constitution_Armor_Medium","Prefix_Magic_Constitution_Armor_Medium"
translation "Prefix_Magic_Constitution_Armor_Larger","Prefix_Magic_Constitution_Armor_Larger"
translation "Prefix_Magic_Constitution_Armor_Largest","Prefix_Magic_Constitution_Armor_Largest"
translation "Suffix_Magic_Constitution_Armor_Small","Suffix_Magic_Constitution_Armor_Small"
translation "Suffix_Magic_Constitution_Armor_Medium","Suffix_Magic_Constitution_Armor_Medium"
translation "Suffix_Magic_Constitution_Armor_Larger","Suffix_Magic_Constitution_Armor_Larger"
translation "Suffix_Magic_Constitution_Armor_Largest","Suffix_Magic_Constitution_Armor_Largest"
translation "Prefix_Magic_Luck_Armor_Small","Prefix_Magic_Luck_Armor_Small"
translation "Prefix_Magic_Luck_Armor_Medium","Prefix_Magic_Luck_Armor_Medium"
translation "Prefix_Magic_Luck_Armor_Larger","Prefix_Magic_Luck_Armor_Larger"
translation "Prefix_Magic_Luck_Armor_Largest","Prefix_Magic_Luck_Armor_Largest"
translation "Suffix_Magic_Luck_Armor_Small","Suffix_Magic_Luck_Armor_Small"
translation "Suffix_Magic_Luck_Armor_Medium","Suffix_Magic_Luck_Armor_Medium"
translation "Suffix_Magic_Luck_Armor_Larger","Suffix_Magic_Luck_Armor_Larger"
translation "Suffix_Magic_Luck_Armor_Largest","Suffix_Magic_Luck_Armor_Largest"
translation "Prefix_Magic_Regeneration_Armor_Small","Prefix_Magic_Regeneration_Armor_Small"
translation "Prefix_Magic_Regeneration_Armor_Medium","Prefix_Magic_Regeneration_Armor_Medium"
translation "Prefix_Magic_Regeneration_Armor_Larger","Prefix_Magic_Regeneration_Armor_Larger"
translation "Prefix_Magic_Regeneration_Armor_Largest","Prefix_Magic_Regeneration_Armor_Largest"
translation "Suffix_Magic_Regeneration_Armor_Small","Suffix_Magic_Regeneration_Armor_Small"
translation "Suffix_Magic_Regeneration_Armor_Medium","Suffix_Magic_Regeneration_Armor_Medium"
translation "Suffix_Magic_Regeneration_Armor_Larger","Suffix_Magic_Regeneration_Armor_Larger"
translation "Suffix_Magic_Regeneration_Armor_Largest","Suffix_Magic_Regeneration_Armor_Largest"
translation "Prefix_Magic_Stamina_Armor_Small","Prefix_Magic_Stamina_Armor_Small"
translation "Prefix_Magic_Stamina_Armor_Medium","Prefix_Magic_Stamina_Armor_Medium"
translation "Prefix_Magic_Stamina_Armor_Larger","Prefix_Magic_Stamina_Armor_Larger"
translation "Prefix_Magic_Stamina_Armor_Largest","Prefix_Magic_Stamina_Armor_Largest"
translation "Suffix_Magic_Stamina_Armor_Small","Suffix_Magic_Stamina_Armor_Small"
translation "Suffix_Magic_Stamina_Armor_Medium","Suffix_Magic_Stamina_Armor_Medium"
translation "Suffix_Magic_Stamina_Armor_Larger","Suffix_Magic_Stamina_Armor_Larger"
translation "Suffix_Magic_Stamina_Armor_Largest","Suffix_Magic_Stamina_Armor_Largest"
translation "Prefix_Magic_FireResistance_Armor_Small","Prefix_Magic_FireResistance_Armor_Small"
translation "Prefix_Magic_FireResistance_Armor_Medium","Prefix_Magic_FireResistance_Armor_Medium"
translation "Prefix_Magic_FireResistance_Armor_Larger","Prefix_Magic_FireResistance_Armor_Larger"
translation "Prefix_Magic_FireResistance_Armor_Largest","Prefix_Magic_FireResistance_Armor_Largest"
translation "Suffix_Magic_FireResistance_Armor_Small","Suffix_Magic_FireResistance_Armor_Small"
translation "Suffix_Magic_FireResistance_Armor_Medium","Suffix_Magic_FireResistance_Armor_Medium"
translation "Suffix_Magic_FireResistance_Armor_Larger","Suffix_Magic_FireResistance_Armor_Larger"
translation "Suffix_Magic_FireResistance_Armor_Largest","Suffix_Magic_FireResistance_Armor_Largest"
translation "Prefix_Magic_EarthResistance_Armor_Small","Prefix_Magic_EarthResistance_Armor_Small"
translation "Prefix_Magic_EarthResistance_Armor_Medium","Prefix_Magic_EarthResistance_Armor_Medium"
translation "Prefix_Magic_EarthResistance_Armor_Larger","Prefix_Magic_EarthResistance_Armor_Larger"
translation "Prefix_Magic_EarthResistance_Armor_Largest","Prefix_Magic_EarthResistance_Armor_Largest"
translation "Suffix_Magic_EarthResistance_Armor_Small","Suffix_Magic_EarthResistance_Armor_Small"
translation "Suffix_Magic_EarthResistance_Armor_Medium","Suffix_Magic_EarthResistance_Armor_Medium"
translation "Suffix_Magic_EarthResistance_Armor_Larger","Suffix_Magic_EarthResistance_Armor_Larger"
translation "Suffix_Magic_EarthResistance_Armor_Largest","Suffix_Magic_EarthResistance_Armor_Largest"
translation "Prefix_Magic_WaterResistance_Armor_Small","Prefix_Magic_WaterResistance_Armor_Small"
translation "Prefix_Magic_WaterResistance_Armor_Medium","Prefix_Magic_WaterResistance_Armor_Medium"
translation "Prefix_Magic_WaterResistance_Armor_Larger","Prefix_Magic_WaterResistance_Armor_Larger"
translation "Prefix_Magic_WaterResistance_Armor_Largest","Prefix_Magic_WaterResistance_Armor_Largest"
translation "Suffix_Magic_WaterResistance_Armor_Small","Suffix_Magic_WaterResistance_Armor_Small"
translation "Suffix_Magic_WaterResistance_Armor_Medium","Suffix_Magic_WaterResistance_Armor_Medium"
translation "Suffix_Magic_WaterResistance_Armor_Larger","Suffix_Magic_WaterResistance_Armor_Larger"
translation "Suffix_Magic_WaterResistance_Armor_Largest","Suffix_Magic_WaterResistance_Armor_Largest"
translation "Prefix_Magic_AirResistance_Armor_Small","Prefix_Magic_AirResistance_Armor_Small"
translation "Prefix_Magic_AirResistance_Armor_Medium","Prefix_Magic_AirResistance_Armor_Medium"
translation "Prefix_Magic_AirResistance_Armor_Larger","Prefix_Magic_AirResistance_Armor_Larger"
translation "Prefix_Magic_AirResistance_Armor_Largest","Prefix_Magic_AirResistance_Armor_Largest"
translation "Suffix_Magic_AirResistance_Armor_Small","Suffix_Magic_AirResistance_Armor_Small"
translation "Suffix_Magic_AirResistance_Armor_Medium","Suffix_Magic_AirResistance_Armor_Medium"
translation "Suffix_Magic_AirResistance_Armor_Larger","Suffix_Magic_AirResistance_Armor_Larger"
translation "Suffix_Magic_AirResistance_Armor_Largest","Suffix_Magic_AirResistance_Armor_Largest"
translation "Prefix_Magic_PoisonResistance_Armor_Small","Prefix_Magic_PoisonResistance_Armor_Small"
translation "Prefix_Magic_PoisonResistance_Armor_Medium","Prefix_Magic_PoisonResistance_Armor_Medium"
translation "Prefix_Magic_PoisonResistance_Armor_Larger","Prefix_Magic_PoisonResistance_Armor_Larger"
translation "Prefix_Magic_PoisonResistance_Armor_Largest","Prefix_Magic_PoisonResistance_Armor_Largest"
translation "Suffix_Magic_PoisonResistance_Armor_Small","Suffix_Magic_PoisonResistance_Armor_Small"
translation "Suffix_Magic_PoisonResistance_Armor_Medium","Suffix_Magic_PoisonResistance_Armor_Medium"
translation "Suffix_Magic_PoisonResistance_Armor_Larger","Suffix_Magic_PoisonResistance_Armor_Larger"
translation "Suffix_Magic_PoisonResistance_Armor_Largest","Suffix_Magic_PoisonResistance_Armor_Largest"
translation "Prefix_Magic_SpiritualResistance_Armor_Small","Prefix_Magic_SpiritualResistance_Armor_Small"
translation "Prefix_Magic_SpiritualResistance_Armor_Medium","Prefix_Magic_SpiritualResistance_Armor_Medium"
translation "Prefix_Magic_SpiritualResistance_Armor_Larger","Prefix_Magic_SpiritualResistance_Armor_Larger"
translation "Prefix_Magic_SpiritualResistance_Armor_Largest","Prefix_Magic_SpiritualResistance_Armor_Largest"
translation "Suffix_Magic_SpiritualResistance_Armor_Small","Suffix_Magic_SpiritualResistance_Armor_Small"
translation "Suffix_Magic_SpiritualResistance_Armor_Medium","Suffix_Magic_SpiritualResistance_Armor_Medium"
translation "Suffix_Magic_SpiritualResistance_Armor_Larger","Suffix_Magic_SpiritualResistance_Armor_Larger"
translation "Suffix_Magic_SpiritualResistance_Armor_Largest","Suffix_Magic_SpiritualResistance_Armor_Largest"
translation "Prefix_Magic_EtherealResistance_Armor_Small","Prefix_Magic_EtherealResistance_Armor_Small"
translation "Prefix_Magic_EtherealResistance_Armor_Medium","Prefix_Magic_EtherealResistance_Armor_Medium"
translation "Prefix_Magic_EtherealResistance_Armor_Larger","Prefix_Magic_EtherealResistance_Armor_Larger"
translation "Prefix_Magic_EtherealResistance_Armor_Largest","Prefix_Magic_EtherealResistance_Armor_Largest"
translation "Suffix_Magic_EtherealResistance_Armor_Small","Suffix_Magic_EtherealResistance_Armor_Small"
translation "Suffix_Magic_EtherealResistance_Armor_Medium","Suffix_Magic_EtherealResistance_Armor_Medium"
translation "Suffix_Magic_EtherealResistance_Armor_Larger","Suffix_Magic_EtherealResistance_Armor_Larger"
translation "Suffix_Magic_EtherealResistance_Armor_Largest","Suffix_Magic_EtherealResistance_Armor_Largest"
translation "Prefix_Magic_PiercingResistance_Armor_Small","Prefix_Magic_PiercingResistance_Armor_Small"
translation "Prefix_Magic_PiercingResistance_Armor_Medium","Prefix_Magic_PiercingResistance_Armor_Medium"
translation "Prefix_Magic_PiercingResistance_Armor_Larger","Prefix_Magic_PiercingResistance_Armor_Larger"
translation "Prefix_Magic_PiercingResistance_Armor_Largest","Prefix_Magic_PiercingResistance_Armor_Largest"
translation "Suffix_Magic_PiercingResistance_Armor_Small","Suffix_Magic_PiercingResistance_Armor_Small"
translation "Suffix_Magic_PiercingResistance_Armor_Medium","Suffix_Magic_PiercingResistance_Armor_Medium"
translation "Suffix_Magic_PiercingResistance_Armor_Larger","Suffix_Magic_PiercingResistance_Armor_Larger"
translation "Suffix_Magic_PiercingResistance_Armor_Largest","Suffix_Magic_PiercingResistance_Armor_Largest"
translation "Prefix_Magic_SlashingResistance_Armor_Small","Prefix_Magic_SlashingResistance_Armor_Small"
translation "Prefix_Magic_SlashingResistance_Armor_Medium","Prefix_Magic_SlashingResistance_Armor_Medium"
translation "Prefix_Magic_SlashingResistance_Armor_Larger","Prefix_Magic_SlashingResistance_Armor_Larger"
translation "Prefix_Magic_SlashingResistance_Armor_Largest","Prefix_Magic_SlashingResistance_Armor_Largest"
translation "Suffix_Magic_SlashingResistance_Armor_Small","Suffix_Magic_SlashingResistance_Armor_Small"
translation "Suffix_Magic_SlashingResistance_Armor_Medium","Suffix_Magic_SlashingResistance_Armor_Medium"
translation "Suffix_Magic_SlashingResistance_Armor_Larger","Suffix_Magic_SlashingResistance_Armor_Larger"
translation "Suffix_Magic_SlashingResistance_Armor_Largest","Suffix_Magic_SlashingResistance_Armor_Largest"
translation "Prefix_Magic_CrushingResistance_Armor_Small","Prefix_Magic_CrushingResistance_Armor_Small"
translation "Prefix_Magic_CrushingResistance_Armor_Medium","Prefix_Magic_CrushingResistance_Armor_Medium"
translation "Prefix_Magic_CrushingResistance_Armor_Larger","Prefix_Magic_CrushingResistance_Armor_Larger"
translation "Prefix_Magic_CrushingResistance_Armor_Largest","Prefix_Magic_CrushingResistance_Armor_Largest"
translation "Suffix_Magic_CrushingResistance_Armor_Small","Suffix_Magic_CrushingResistance_Armor_Small"
translation "Suffix_Magic_CrushingResistance_Armor_Medium","Suffix_Magic_CrushingResistance_Armor_Medium"
translation "Suffix_Magic_CrushingResistance_Armor_Larger","Suffix_Magic_CrushingResistance_Armor_Larger"
translation "Suffix_Magic_CrushingResistance_Armor_Largest","Suffix_Magic_CrushingResistance_Armor_Largest"
translation "Prefix_Magic_ShadowResistance_Armor_Small","Prefix_Magic_ShadowResistance_Armor_Small"
translation "Prefix_Magic_ShadowResistance_Armor_Medium","Prefix_Magic_ShadowResistance_Armor_Medium"
translation "Prefix_Magic_ShadowResistance_Armor_Larger","Prefix_Magic_ShadowResistance_Armor_Larger"
translation "Prefix_Magic_ShadowResistance_Armor_Largest","Prefix_Magic_ShadowResistance_Armor_Largest"
translation "Suffix_Magic_ShadowResistance_Armor_Small","Suffix_Magic_ShadowResistance_Armor_Small"
translation "Suffix_Magic_ShadowResistance_Armor_Medium","Suffix_Magic_ShadowResistance_Armor_Medium"
translation "Suffix_Magic_ShadowResistance_Armor_Larger","Suffix_Magic_ShadowResistance_Armor_Larger"
translation "Suffix_Magic_ShadowResistance_Armor_Largest","Suffix_Magic_ShadowResistance_Armor_Largest"
translation "Prefix_Magic_BoneResistance_Armor_Small","Prefix_Magic_BoneResistance_Armor_Small"
translation "Prefix_Magic_BoneResistance_Armor_Medium","Prefix_Magic_BoneResistance_Armor_Medium"
translation "Prefix_Magic_BoneResistance_Armor_Larger","Prefix_Magic_BoneResistance_Armor_Larger"
translation "Prefix_Magic_BoneResistance_Armor_Largest","Prefix_Magic_BoneResistance_Armor_Largest"
translation "Suffix_Magic_BoneResistance_Armor_Small","Suffix_Magic_BoneResistance_Armor_Small"
translation "Suffix_Magic_BoneResistance_Armor_Medium","Suffix_Magic_BoneResistance_Armor_Medium"
translation "Suffix_Magic_BoneResistance_Armor_Larger","Suffix_Magic_BoneResistance_Armor_Larger"
translation "Suffix_Magic_BoneResistance_Armor_Largest","Suffix_Magic_BoneResistance_Armor_Largest"
translation "Prefix_Magic_Sight_Armor_Small","Prefix_Magic_Sight_Armor_Small"
translation "Prefix_Magic_Sight_Armor_Medium","Prefix_Magic_Sight_Armor_Medium"
translation "Prefix_Magic_Sight_Armor_Larger","Prefix_Magic_Sight_Armor_Larger"
translation "Prefix_Magic_Sight_Armor_Largest","Prefix_Magic_Sight_Armor_Largest"
translation "Suffix_Magic_Sight_Armor_Small","Suffix_Magic_Sight_Armor_Small"
translation "Suffix_Magic_Sight_Armor_Medium","Suffix_Magic_Sight_Armor_Medium"
translation "Suffix_Magic_Sight_Armor_Larger","Suffix_Magic_Sight_Armor_Larger"
translation "Suffix_Magic_Sight_Armor_Largest","Suffix_Magic_Sight_Armor_Largest"
translation "Prefix_Magic_Hearing_Armor_Small","Prefix_Magic_Hearing_Armor_Small"
translation "Prefix_Magic_Hearing_Armor_Medium","Prefix_Magic_Hearing_Armor_Medium"
translation "Prefix_Magic_Hearing_Armor_Larger","Prefix_Magic_Hearing_Armor_Larger"
translation "Prefix_Magic_Hearing_Armor_Largest","Prefix_Magic_Hearing_Armor_Largest"
translation "Suffix_Magic_Hearing_Armor_Small","Suffix_Magic_Hearing_Armor_Small"
translation "Suffix_Magic_Hearing_Armor_Medium","Suffix_Magic_Hearing_Armor_Medium"
translation "Suffix_Magic_Hearing_Armor_Larger","Suffix_Magic_Hearing_Armor_Larger"
translation "Suffix_Magic_Hearing_Armor_Largest","Suffix_Magic_Hearing_Armor_Largest"
translation "Prefix_Magic_Vitality_Armor_Small","Prefix_Magic_Vitality_Armor_Small"
translation "Prefix_Magic_Vitality_Armor_Medium","Prefix_Magic_Vitality_Armor_Medium"
translation "Prefix_Magic_Vitality_Armor_Larger","Prefix_Magic_Vitality_Armor_Larger"
translation "Prefix_Magic_Vitality_Armor_Largest","Prefix_Magic_Vitality_Armor_Largest"
translation "Suffix_Magic_Vitality_Armor_Small","Suffix_Magic_Vitality_Armor_Small"
translation "Suffix_Magic_Vitality_Armor_Medium","Suffix_Magic_Vitality_Armor_Medium"
translation "Suffix_Magic_Vitality_Armor_Larger","Suffix_Magic_Vitality_Armor_Larger"
translation "Suffix_Magic_Vitality_Armor_Largest","Suffix_Magic_Vitality_Armor_Largest"
translation "Prefix_Magic_MagicPoints_Armor_Small","Prefix_Magic_MagicPoints_Armor_Small"
translation "Prefix_Magic_MagicPoints_Armor_Medium","Prefix_Magic_MagicPoints_Armor_Medium"
translation "Prefix_Magic_MagicPoints_Armor_Larger","Prefix_Magic_MagicPoints_Armor_Larger"
translation "Prefix_Magic_MagicPoints_Armor_Largest","Prefix_Magic_MagicPoints_Armor_Largest"
translation "Suffix_Magic_MagicPoints_Armor_Small","Suffix_Magic_MagicPoints_Armor_Small"
translation "Suffix_Magic_MagicPoints_Armor_Medium","Suffix_Magic_MagicPoints_Armor_Medium"
translation "Suffix_Magic_MagicPoints_Armor_Larger","Suffix_Magic_MagicPoints_Armor_Larger"
translation "Suffix_Magic_MagicPoints_Armor_Largest","Suffix_Magic_MagicPoints_Armor_Largest"
translation "Prefix_Magic_Evasion_Armor_Small","Prefix_Magic_Evasion_Armor_Small"
translation "Prefix_Magic_Evasion_Armor_Medium","Prefix_Magic_Evasion_Armor_Medium"
translation "Prefix_Magic_Evasion_Armor_Larger","Prefix_Magic_Evasion_Armor_Larger"
translation "Prefix_Magic_Evasion_Armor_Largest","Prefix_Magic_Evasion_Armor_Largest"
translation "Suffix_Magic_Evasion_Armor_Small","Suffix_Magic_Evasion_Armor_Small"
translation "Suffix_Magic_Evasion_Armor_Medium","Suffix_Magic_Evasion_Armor_Medium"
translation "Suffix_Magic_Evasion_Armor_Larger","Suffix_Magic_Evasion_Armor_Larger"
translation "Suffix_Magic_Evasion_Armor_Largest","Suffix_Magic_Evasion_Armor_Largest"
translation "Wizard","Mago"
translation "Warrior","Guerriero"
translation "Survival","Sopravvivenza"
translation "Summoning dolls","Bambole da evocazione"
translation "Elemental attack","Attacco elementale"
translation "Elemental defense","Difesa elementale"
translation "Elemental curses","Maledizioni elementali"
translation "Body magic","Magia corporea"
translation "Shaman magic","Magia sciamanica"
translation "Ethereal magic","Magia eterea"
translation "Focussed","Mirato"
translation "Spread","Diffuso"
translation "Circle","Circolare"
translation "Missile","Missile"
translation "Instant","Istantaneo"
translation "Fire","del Fuoco"
translation "Water","dell'Acqua"
translation "Air","dell'Aria"
translation "Earth","della Terra"
translation "Individual","individuale"
translation "Party","di gruppo"
translation "Resistance","Resistenza"
translation "Reflective","Riflettente"
translation "Extra Duration","Durata extra"
translation "Defensive","Difensivo"
translation "Offensive","Offensivo"
translation "Individual","individuale"
translation "Party","di gruppo"
translation "Healing","Guarigione"
translation "Cure poison","Cura avvelenamento"
translation "Remove curse","Rimuovi maledizione"
translation "Cure disease","Cura malattia"
translation "Shared damage","Danno condiviso"
translation "Cloud","Nube"
translation "Disease","Malattia"
translation "Polymorph","Polimorfismo"
translation "Slow","Rallenta"
translation "Blind","Acceca"
translation "Paralyze","Paralizza"
translation "Pacify","Pacifica"
translation "Extra Duration","Durata extra"
translation "Weather magic","Magia atmosferica"
translation "Nature magic","Magia naturale"
translation "Meteor shower","Pioggia di meteore"
translation "Acid rain","Pioggia acida"
translation "Wind of furies","Vento delle Furie"
translation "Lightning storm","Tempesta di fulmini"
translation "Insect swarm","Sciame di insetti"
translation "Spikes","Spunzoni"
translation "Earthquake","Terremoto"
translation "Hammer","Martello"
translation "Flash","Lampo"
translation "Swap Places","Scambia posto"
translation "Elder fire","Fuoco degli Anziani"
translation "Age objects","Invecchia oggetti"
translation "Fireball","Globo di fuoco"
translation "Melee specialities","Specialità di mischia"
translation "One handed","a una mano"
translation "Slashing","Taglio"
translation "Accuracy","Accuratezza"
translation "Damage","Danno"
translation "Weapon Durability","Durevolezza delle armi"
translation "Critical hits","Colpi critici"
translation "Deathblow","Colpo di grazia"
translation "Piercing","Penetrazione"
translation "Crushing","Schiacciamento"
translation "Shadow","Ombra"
translation "Bone","Osso"
translation "Two handed","a due mani"
translation "With shield","con scudo"
translation "Ranged specialities","Specialità dalla distanza"
translation "Bow","Arco"
translation "Crossbow","Balestra"
translation "Reload time","Tempo di ricarica"
translation "Arrow Proficiency","Efficacia frecce"
translation "Normal arrow","Freccia normale"
translation "Fire arrow","Freccia di fuoco"
translation "Water arrow","Freccia d'acqua"
translation "Air arrow","Freccia d'aria"
translation "Earth arrow","Freccia di terra"
translation "Poison arrow","Freccia avvelenata"
translation "Bone arrow","Freccia d'osso"
translation "Shadow arrow","Freccia d'ombra"
translation "Spiritual arrow","Freccia spirituale"
translation "Ethereal arrow","Freccia eterea"
translation "Explosive arrow","Freccia esplosiva"
translation "Splitting arrow","Freccia trapassante"
translation "Power arrow","Freccia potente"
translation "Defensive specialities","Specialità difensive"
translation "Shield blocking","Blocco scudo"
translation "Evading","Evasione"
translation "Armor usage","Usura dell'armatura"
translation "Armor durability","Durevolezza dell'armatura"
translation "Whirlwind","Turbine"
translation "Extra damage","Danno extra"
translation "Stun ability","Abilità Stordimento"
translation "Reduce cost","Riduci costo"
translation "Craftmanship","Artigianato"
translation "Repair","Artigianato"
translation "Sharpen","Affila"
translation "Weapon","Arma"
translation "Arrow","Freccia"
translation "Convert Arrow","Trasforma freccia"
translation "Recover Arrows","Recupera frecce"
translation "Identify","Identifica"
translation "Equipment","Equipaggiamento"
translation "Creature","Creatura"
translation "Magic item","Oggetto magico"
translation "Warrior talents","Talenti del guerriero"
translation "Feign death","Morte apparente"
translation "Berserk","Infuriato"
translation "Discourage","Scoraggia"
translation "Ranger sight","Vista dell'incursore"
translation "Bait","Adesca"
translation "Thieving skills","Abilità da ladro"
translation "Pickpocket","Borseggia"
translation "Lockpick","Scassina"
translation "Sneak","Muoviti furtivamente"
translation "Poison","Veleno"
translation "Weapon Damage","Danni arrecati dalle armi"
translation "Survivor talents","Talenti del superstite"
translation "Backstab","Colpo alle spalle"
translation "Trading","Commercio"
translation "Luck","Fortuna"
translation "Wisdom","Saggezza"
translation "Embellish equipment","Adorna equipaggiamento"
translation "Tracking","Rintraccia"
translation "Alchemy","Alchimia"
translation "Extract","Estrai"
translation "Combine","Combina"
translation "Traps","Trappole"
translation "Convert traps","Trasforma trappole"
translation "Scorpion","Scorpione"
translation "Explosive","Esplosiva"
translation "Trailbombs","Bombe a strascico"
translation "Spikes","Spunzoni"
translation "Elemental trap","Trappola elementale"
translation "Paralyzing trap","Trappola paralizzante"
translation "Scary explosive","Esplosivo spaventoso"
translation "Spider mine","Mina ragno"
translation "Teleport trap","Trappola del teletrasporto"
translation "Insect swarm","Sciame di insetti"
translation "Curse","Maledizione"
translation "Summoning","Evocazione"
translation "Turn traps","Inverti trappole"
translation "Trap detection","Rilevamento trappole"
translation "Level","Livello"
translation "Trap disarming","Disinnesco trappole"
translation "Upgrades","Potenziamenti"
translation "Level upgrade","Potenziamento livello"
translation "Resistance upgrade","Potenziamento resistenza"
translation "Specials","Special"
translation "Extra skill slot","Casella abilità aggiuntiva"
translation "Respawn duration","Intervallo ritorno in vita"
translation "Extra Radius","Raggio extra"
translation "Use Weapon","Usa arma"
translation "Sneak","Muoviti furtivamente"
translation "Whirlwind","Turbine"
translation "ElementalAttack","Attacco elementale"
translation "ElementalCurse","Maledizione elementale"
translation "Healing","Guarigione"
translation "Cure poison","Cura avvelenamento"
translation "Remove Curse","Rimuovi maledizione"
translation "Cure Disease","Cura malattia"
translation "Shared Damage","Danno condiviso"
translation "Desease","Malattia"
translation "Polymorph","Polimorfismo"
translation "Meteor Shower","Pioggia di meteore"
translation "Acid Rain","Pioggia acida"
translation "Wind of furies","Vento delle Furie"
translation "Lightning Storm","Tempesta di fulmini"
translation "Duration Boost Shamanmagic","Incremento durata Magia sciamanica"
translation "Insect Swarm","Sciame di insetti"
translation "Spikes","Spunzoni"
translation "Earthquake","Terremoto"
translation "Hammer","Martello"
translation "Flash","Lampo"
translation "Swap Place","Scambia posto"
translation "Elder fire","Fuoco degli Anziani"
translation "Age Objects","Invecchia oggetti"
translation "Fireball","Globo di fuoco"
translation "Slow","Rallenta"
translation "Sight","Vista"
translation "Paralyse","Paralizza"
translation "Pacify","Pacifica"
translation "Duration Boost Bodymagic","Incremento durata Magia corporea"
translation "ElementalDefense","Difesa elementale"
translation "Level Upgrade","Potenziamento livello"
translation "Resistances","Resistenze"
translation "Extra Skill Slot","Casella abilità aggiuntiva"
translation "Respawn Duration","Intervallo ritorno in vita"
translation "Extra Radius","Raggio extra"
translation "PickPocket","Borseggia"
translation "LockPick","Scassina"
translation "Sneak","Muoviti furtivamente"
translation "Poison","Veleno"
translation "Backstab","Colpo alle spalle"
translation "Trading","Commercio"
translation "Luck","Fortuna"
translation "Wisdom","Saggezza"
translation "Embellish Equipment","Adorna equipaggiamento"
translation "Tracking","Rintraccia"
translation "Alchemy Extract","Estratto alchemico"
translation "Alchemy Combine","Mistura alchemica"
translation "Scorpion Trap","Trappola Scorpione"
translation "Explosive Trap","Trappola esplosiva"
translation "TrailBombs Trap","Trappola Bombe a strascico"
translation "Spikes Trap","Trappola con spunzoni"
translation "Elemental Trap","Trappola elementale"
translation "Paralyzing Trap","Trappola paralizzante"
translation "Scary Explosive Trap","Trappola esplosiva spaventosa"
translation "Spider Mine Trap","Tappola Mina ragno"
translation "Teleport Trap","Trappola Teletrasporto"
translation "Insect Swarm Trap","Trappola Sciame d'insetti"
translation "Curse Trap","Trappola Maledizione"
translation "Summoning Trap","Trappola Evocazione"
translation "Turn Trap","Inverti trappola"
translation "Trap Detection","Rilevamento trappole"
translation "Trap Disarming","Disinnesco trappole"
translation "Melee Specialities","Specialità di mischia"
translation "Shield Blocking","Blocco scudo"
translation "Evading","Evasione"
translation "ArmorUsage","Usura dell'armatura"
translation "Armor Durability","Usura dell'armatura"
translation "Feign Death","Morte apparente"
translation "Berserk","Infuriato"
translation "Discourage","Scoraggia"
translation "Ranger Sight","Vista dell'incursore"
translation "Bait","Adesca"
translation "Ranged Specialities","Specialità dalla distanza"
translation "Arrow Proficiency","Efficacia frecce"
translation "Repair","Ripara"
translation "Sharpen Weapon","Affila arma"
translation "Sharpen Arrow","Affila freccia"
translation "Convert To Fire Arrow","Trasforma in freccia di fuoco"
translation "Convert to Poison Arrow","Trasforma in freccia avvelenata"
translation "Convert to Explosive Arrow","Trasforma in freccia esplosiva"
translation "Convert to Splitting Arrow","Trasforma in freccia trapassante"
translation "Convert to Power Arrow","Trasforma in freccia potente"
translation "Convert To Water Arrow","Trasforma in freccia d'acqua"
translation "Convert To Air Arrow","Trasforma in freccia d'aria"
translation "Convert To Earth Arrow","Trasforma in freccia di terra"
translation "Convert To Bone Arrow","Trasforma in freccia d'osso"
translation "Convert To Shadow Arrow","Trasforma in freccia d'ombra"
translation "Convert To Spiritual Arrow","Trasforma in freccia spirituale"
translation "Convert To Ethereal Arrow","Trasforma in freccia eterea"
translation "Recover Arrow","Recupera freccia"
translation "Identify Equipment","Identifica equipaggiamento"
translation "Identify Creature","Identifica creatura"
translation "Identify Magic Item","Identifica oggetto magico"
translation "Use Teleporter Stone","Usa Pietra del teletrasporto"
translation "Drop and Use Teleporter Stone","Lascia e usa Pietra del teletrasporto"
translation "Enter Battlefields","Entra nel campo di battaglia"
translation "Leave Battlefields","Abbandona il campo di battaglia"
translation "Radius","Raggio"
translation "Point blank","A bruciapelo"
translation "Aperture","Apertura"
translation "Elemental Curse","Maledizione elementale"
translation "Convert","Trasforma"
translation "Flare Arrow","Freccia ardente"
translation "Z_Peacemaker","Pacificatore"
translation "Cord","Corda"
